,Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
3709,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Yes,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,SW,SILVER,16101a,No,BLACK,M,ROCKVILLE,MD,MD,Q - Marked Laser,Citation
10230,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2003.0,CADILLAC,CTS,BLUE,13401h,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
44624,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,No,No,No,No,No,MD,01 - Motorcycle,2006.0,HOND,4S,SILVER,21801a,No,WHITE,M,POTOMAC,MD,MD,B - Unmarked Patrol,Warning
52372,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1997.0,TOYOTA,CAMRY,GRAY,13401h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
35878,STOP LIGHTS,No,No,No,No,No,MD,02 - Automobile,2002.0,HOND,CRV,WHITE,64,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,SERO
56612,EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,HIGHLANDER,GRAY,218011,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
43605,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,GA,02 - Automobile,2007.0,TOYOTA,XARIS,BLUE,13411f,No,ASIAN,F,GERMANTOWN,MD,MD,B - Unmarked Patrol,Warning
40250,FAILURE OF VEH DRIVER TO CARRY CURRENT REG CARD,No,No,No,No,No,MD,02 - Automobile,2011.0,ACURA,TSX,SILVER,13701a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
10150,HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,No,No,Yes,No,No,MD,02 - Automobile,2001.0,KIA,4D,BLACK,16105b1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
39847,DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2003.0,MERCURY,LA SABRE,BLACK,21402a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
39581,DRIVING VEH WITH WINDOW VIEW OBSTRUCTED BY SIGN MATERIAL,No,No,No,Yes,No,MD,02 - Automobile,2007.0,VOLKSWAGON,JETTA,SILVER,211104d,No,BLACK,M,OLNEY,MD,MD,A - Marked Patrol,Warning
33874,Stop Lights,No,No,No,No,No,MD,02 - Automobile,2001.0,NISSAN,SENTRA,BLUE,64,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
38301,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2008.0,MERZ,TK,GRAY,21201a1,No,BLACK,F,DERWOOD,MD,MD,A - Marked Patrol,Warning
38211,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYT,4S COROLLA,SILVER,21201a1,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
32895,Window Tint,No,No,No,No,No,MD,02 - Automobile,2006.0,HONDA,ACCORD,GRAY,61,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,SERO
13121,EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2015.0,FORD,FLEX,SILVER,218011,No,WHITE,F,LAYTONSVILLE,MD,MD,G - Marked Moving Radar (Stationary),Citation
22868,EXCEEDING MAXIMUM SPEED 62 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYT,4S,GRAY,218011,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
53175,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,1998.0,NISSAN,MAXIMA,BLACK,224123b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
769,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1996.0,ISUZU,RODEO,,16101a,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
28299,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,05 - Light Duty Truck,2003.0,SUSUKI,TK,MAROON,16101a,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
29910,HOLDER OF NONCOMMERCIAL CLASS C DR LIC DRIVE ON HWY MV OF THE TYPE AUTH BY LIC,No,No,No,No,No,TX,01 - Motorcycle,2009.0,KAWASAKI,MOTORCYCLE,BLACK,161041c,No,WHITE,M,WOODSTOCK,MD,MD,A - Marked Patrol,Citation
46901,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEV,SUBURBAN,SILVER,13409b,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
57273,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUN,ELANTRA 4S,SILVER,22406i1,No,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,Warning
39298,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,4S,GRAY,16112c,No,WHITE,M,BEALLSVILLE,MD,MD,Q - Marked Laser,Warning
60148,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2007.0,MERZ,4S,GOLD,2111242d2,No,OTHER,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
44124,STOPLIGHTINOPERATIVE,Yes,No,No,No,No,MD,02 - Automobile,2007.0,NISSAN,XTERRA,SILVER,113939,No,BLACK,M,ADELPHI,MD,MD,A - Marked Patrol,Warning
42450,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,FUSION,BLACK,13411a,No,BLACK,M,LOS ANGELES,CA,CA,A - Marked Patrol,Warning
30440,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,XX,02 - Automobile,1998.0,MERCURY,MARQUIS,RED,13409b,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Citation
784,DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2008.0,JEEP,LAREDO,BLACK,21309b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
27812,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,No,No,No,No,No,CA,02 - Automobile,2001.0,HONDA,CRV,GREEN,13411c1,No,WHITE,F,SN LUIS OBISP,CA,CA,A - Marked Patrol,Citation
45660,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CIVIC,BLACK,222011,No,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
5881,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2011.0,BMW,328I 4D,BLACK,21707a,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,Citation
44248,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,CA,02 - Automobile,2009.0,FORD,FOCUS,SILVER,219011b,No,WHITE,M,MALIBU,CA,CA,A - Marked Patrol,Warning
14683,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,DC,08 - Recreational Vehicle,2005.0,HYUNDAI,SANTE FE,BLUE DARK,21707a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
25819,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,Yes,No,MD,05 - Light Duty Truck,2003.0,CHEVY,TRAILBLAZER,GOLD,16116a,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
12946,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,1995.0,NISSAN,VAN,BLUE,16303h,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
11312,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,No,No,No,No,No,VA,02 - Automobile,2016.0,HONDA,ACCORD,BLACK,21405e1,No,WHITE,M,OAKTON,VA,VA,A - Marked Patrol,Citation
44469,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,4S,SILVER,21201a1,No,OTHER,M,ARLINGTON,VA,VA,A - Marked Patrol,Warning
64402,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Yes,No,No,No,No,MD,02 - Automobile,2015.0,TOYT,VAN,SILVER,13409b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
1685,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,Yes,No,MD,02 - Automobile,2006.0,NISS,4S,SILVER,224123b,No,BLACK,M,SILVER SPRING,MD,MD,L - Motorcycle,Citation
63297,VEH HWY OPERATION WITH INADEQUATE REAR CLEARANCE LAMPS,No,No,No,No,Yes,VA,05 - Light Duty Truck,2011.0,FORD,F250 TK,WHITE,22211c,No,HISPANIC,M,MANASSAS,VA,VA,A - Marked Patrol,Warning
11252,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,TACOMA,WHITE,13409b,No,BLACK,M,SALISBURY,MD,MD,A - Marked Patrol,Citation
58504,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1998.0,TOYOTA,CAMRY,GRAY,13409b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
10627,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,03 - Station Wagon,2006.0,FORD,E350,WHITE,16303c,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
69454,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2007.0,INFINITI,G38,SILVER,21707a,No,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
2911,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2010.0,MAZDA,4DR,GRAY,16101a,No,WHITE,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,Citation
13067,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2015.0,CHRYSLER,200,GRAY,13409b,No,WHITE,M,CLARKSBURG,MD,MD,J - Unmarked Moving Radar (Moving),Citation
5387,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,Yes,No,No,MD,02 - Automobile,2010.0,TOYOTA,COROLLA,RED,21902a2,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
25657,HOLDER OF LEARNERS PERMIT DRIVING WITH UN AUTHORIZED PERSON OCCUPYING FRONT SEAT,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,COROLLA,BLACK,16105b2,No,OTHER,F,SILVER SPRING,MD,OH,A - Marked Patrol,Citation
27192,FAILURE TO DRIVE RIGHT OF CENTER,Yes,Yes,No,No,No,MD,02 - Automobile,2009.0,HONDA,ACCORD,BLUE,21301a,Yes,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
29168,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 40 MPH ZONE,No,No,No,Yes,No,DC,02 - Automobile,2003.0,TOYOTA,CAMRY,RED,218011,No,BLACK,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
12533,DISPLAY SUSPENDED LIC,No,No,No,No,No,MD,02 - Automobile,2009.0,NISSAN,VERSA,SILVER,16301e,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
26403,DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,DC,02 - Automobile,2000.0,VOLVO,S40,BLUE,21309d,No,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
24105,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2008.0,HONDA,ACCORD,BLUE,21201a1,No,WHITE,F,ROCKVILLE,MD,MD,Q - Marked Laser,Citation
9151,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45 MPH,No,No,No,No,No,MD,02 - Automobile,2002.0,CHEVROLET,CAVALIER,SILVER,21801a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
15305,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,RANGER,TAN,219011a,No,HISPANIC,M,KENSINGTON,MD,MD,A - Marked Patrol,Citation
34288,HEADLIGHTS,No,No,No,No,No,MD,28 - Other,2005.0,HONDA,SUV,,55,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,SERO
7560,FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEVY,IMPALA,BLACK,21801b,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
54934,DRIVING WRONG WAYONE WAY STREET,No,No,No,No,No,MD,02 - Automobile,2004.0,FORD,TK,BLACK,21308a,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,Warning
41929,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,No,No,MD,05 - Light Duty Truck,2002.0,CHEV,TRUCK,BLUE DARK,218011,No,HISPANIC,M,GAITHERSBURG,MD,MD,E - Marked Stationary Radar,Warning
46624,FAILURE YIELD RIGHT OF WAY ON LEFT TURN,No,No,No,No,No,MD,02 - Automobile,2011.0,SUBARU,OUTBACK,GREEN LGT,21402a,No,HISPANIC,F,NORTH BETHESDA,MD,MD,A - Marked Patrol,Warning
63502,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,No,No,No,Yes,No,DC,02 - Automobile,2015.0,TOYOTA,4S,BLACK,218011,No,BLACK,M,WASHINGTON,DC,DC,Q - Marked Laser,Warning
69508,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50,No,No,No,No,No,MD,02 - Automobile,2011.0,JEEP,SU,SILVER,21801a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
56445,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,VA,02 - Automobile,2006.0,HONDA,CIVIC,SILVER,2111242d2,No,WHITE,M,HAYMARKET,VA,VA,A - Marked Patrol,Warning
34944,TAILLIGHTS,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYT,HIGHLANDER,SILVER,56,No,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,SERO
39951,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,CAMRY,WHITE,218011,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
34330,TAILLIGHTS,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,SCION,GRAY,56,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,SERO
65490,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,DE,02 - Automobile,1999.0,MERCURY,GRAND MARQUIS,BLUE,224123b,No,BLACK,M,WILMINGTON,DE,DE,A - Marked Patrol,Warning
26967,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2006.0,INFI,4S,BLACK,224123b,No,WHITE,M,ADELPHI,MD,MD,A - Marked Patrol,Citation
50345,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,01 - Motorcycle,2016.0,ACUR,MDX,BLACK,21707a,No,ASIAN,F,GAITHERSBURG,MD,MD,M - Marked (Off-Duty),Warning
53054,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2009.0,HYUNDAI,SANTA FE,SILVER,13409b,No,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,Warning
61600,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Yes,No,No,No,No,MD,02 - Automobile,1989.0,BMW,4S,GRAY,13401h,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,Warning
9268,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2010.0,RANGE ROVER,TRK,BLACK,2111242d2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
39548,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1992.0,HONDA,CIVIC,BLACK,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
50186,DRIVING VEH WITH WINDSHIELD VIEW OBSTRUCTED BY SIGN MATERIAL,No,No,No,No,No,MD,02 - Automobile,1999.0,HOND,4S,WHITE,211104d,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Warning
52994,DRIVING MOTOR VEH ON HWY WEARING EARPLUGS IN BOTH EARS,No,No,No,No,No,MD,02 - Automobile,2008.0,DODGE,PILOT,BLUE LIGHT,211120a,No,BLACK,F,CLARKSBURG,MD,MD,Q - Marked Laser,Warning
31121,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2017.0,HONDA,TK,GRAY,21707a,No,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
27759,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,CIVIC,WHITE,21707a,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
47919,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,4S,BRONZE,13411a,No,WHITE,F,IJAMSVILLE,MD,MD,Q - Marked Laser,Warning
31065,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2010.0,NISSAN,SENTRA,BLACK,16101a,No,BLACK,F,SILVER SPRING,MD,MD,S - License Plate Recognition,Citation
823,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,ACCORD,GOLD,13409b,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
61714,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,VA,28 - Other,2004.0,CHEV,SUBURBAN,GREEN DK,218011,No,BLACK,M,TAKOMA PARK,MD,MD,F - Unmarked Stationary Radar,Warning
50692,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUN,4S,GRAY,22226a,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
45724,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,1999.0,MERCEDES,KOMPRESSOR,WHITE,22226a,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Warning
57551,FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,No,No,No,No,No,NC,02 - Automobile,1999.0,HONDA,ACCORD,WHITE,13414a,No,WHITE,F,ROCKVILLE,MD,NC,A - Marked Patrol,Warning
29320,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,1997.0,HONDA,CIVIC,GREEN,16303c,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
37386,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2005.0,AUDI,A4,GRAY,13409b,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
18091,DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2007.0,HOND,CIVIC,BLACK,21309b,No,WHITE,F,POTOMAC,MD,MD,A - Marked Patrol,Citation
6588,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2016.0,KIA,SEDONA,WHITE,21707a,No,ASIAN,F,BETHESDA,MD,MD,A - Marked Patrol,Citation
29723,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH OF DAMAGE,No,No,No,No,No,TX,02 - Automobile,2007.0,TOYOTA,CAMRY,SILVER,20105b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
9540,DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2003.0,LINCOLN,TRK,SILVER,21202h1,No,BLACK,M,SILVER SPRING,MD,PA,A - Marked Patrol,Citation
15979,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2017.0,HYUNDAI,4S,SILVER,16101a1,No,WHITE,M,GAITHERSBURG,MD,MD,I - Marked Moving Radar (Moving),Citation
504,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,No,No,No,No,No,MD,02 - Automobile,1998.0,GMC,4DOOR,TAN,21204b,No,HISPANIC,M,NORTH EAST,DC,VA,A - Marked Patrol,Citation
1895,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1994.0,TOYT,COROLLA,TAN,21902a1,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
66236,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,NISS,VERSA,WHITE,21201a1,No,WHITE,F,PAC PALISADES,CA,CA,A - Marked Patrol,Warning
69411,EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,No,No,No,No,No,MD,02 - Automobile,2012.0,CHEV,2500,RED,218011,No,HISPANIC,F,DAMASCUS,MD,MD,Q - Marked Laser,Warning
59844,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,05 - Light Duty Truck,1999.0,FORD,E150,WHITE,13411a,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
1062,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Yes,No,No,No,No,MD,02 - Automobile,1998.0,HOND,2S,BLUE,2111242d2,No,HISPANIC,M,LAUREL,MD,MD,A - Marked Patrol,Citation
26790,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26204,No,No,No,No,No,NC,02 - Automobile,2010.0,CHEV,MALIBU,GOLD,16303h,No,BLACK,M,COLUMBIA,MD,MD,A - Marked Patrol,Citation
69974,EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,No,No,No,No,No,VA,02 - Automobile,2011.0,TOYT,CAMRY,SILVER,218011,No,WHITE,F,WOODBRIDGE,VA,VA,Q - Marked Laser,Warning
43199,FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2014.0,HYUN,4S,BLACK,22203b,Yes,WHITE,F,CROFTON,MD,MD,A - Marked Patrol,Warning
39218,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2000.0,ACURA,TL,BLUE,21201a1,No,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,Warning
9208,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,02 - Automobile,2005.0,ACURA,4DR,RED,22406i1,No,HISPANIC,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
29802,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 40 MPH ZONE,Yes,No,No,No,No,LA,02 - Automobile,2016.0,HONDA,HRV,BLUE,218011,No,BLACK,F,BOYDS,MD,MD,Q - Marked Laser,Citation
61409,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2017.0,GMC,ACADIA,BLACK,2111242d2,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,Warning
65560,DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2009.0,ACURA,TL,SILVER,21309b,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
34711,Window Tint,No,No,No,No,No,MD,02 - Automobile,2001.0,BMW,325I,SILVER,61,No,OTHER,M,LAUREL,MD,MD,Q - Marked Laser,SERO
57704,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,4S,GREEN,21301a,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
